"","Generation","Crosses","Treatment","Exposure","Sample","Sex","Sugar.Weight","Glucose","Trehalose","Glycogen","Fat.Weight","TAG","Fitness","X"
"161","F1","MnPn","NSD","Both",15,"female",3.68,7.745044413,9.30578204,18.86474412,3.62,39.2109062,384,NA
"162","F1","MnPn","NSD","Both",16,"female",3.87,10.12820813,6.42323544,20.7067582,3.57,46.41748687,353,NA
"163","F1","MnPn","NSD","Both",17,"female",3.88,9.821311475,10.96574998,23.39671627,3.64,51.35428901,402,NA
"164","F1","MnPn","NSD","Both",18,"female",3.82,8.489490567,7.219153403,14.27846309,3.7,45.31339043,670,NA
"165","F1","MnPn","NSD","Both",19,"female",3.74,12.27180527,12.88372042,27.69079378,3.18,52.50752945,509,NA
"166","F1","MnPn","NSD","Both",20,"female",3.68,9.519038076,8.433245032,15.26316153,3.22,34.07555646,341,NA
"167","F1","MnPn","NSD","Both",21,"female",3.94,9.345356888,16.54454533,21.80618063,3.7,37.65401248,159,NA
"168","F1","MnPn","NSD","Both",22,"female",3.86,11.47812831,9.808517791,24.81502977,3.89,54.07000006,353,NA
"169","F1","MnPn","NSD","Both",23,"female",3.85,11.1332008,9.014893269,15.68860424,3.57,41.2954195,184,NA
"170","F1","MnPn","NSD","Both",24,"female",3.49,11.12224449,6.337608056,10.57373445,2.81,35.84213628,216,NA
"171","F1","MnPn","NSD","Both",25,"female",NA,NA,NA,NA,NA,NA,370,NA
"172","F1","McPc","CD","Both",1,"female",3.45,9.185838174,3.146097048,15.39290866,3.9,36.92227621,355,NA
"173","F1","McPc","CD","Both",2,"female",3.77,12.65604364,7.589009017,33.9988095,3.4,20.44184475,328,NA
"174","F1","McPc","CD","Both",3,"female",3.59,13.06812077,5.240907138,24.51029916,3.63,24.57739059,370,NA
"175","F1","McPc","CD","Both",4,"female",3.61,11.18718725,7.807400005,28.92540974,4.06,39.83819821,481,NA
"176","F1","McPc","CD","Both",5,"female",3.85,8.617498748,18.21620566,12.14877175,3.82,26.01099158,245,NA
"177","F1","McPc","CD","Both",6,"female",3.99,10.99636768,21.72721562,28.91642194,3.39,34.13972026,331,NA
"178","F1","McPc","CD","Both",7,"female",4.07,9.019204014,6.490155111,32.58585282,3.85,23.19415653,198,NA
"179","F1","McPc","CD","Both",8,"female",3.83,12.76853096,6.723670726,41.26372979,4.09,26.62059759,362,NA
"180","F1","McPc","CD","Both",9,"female",3.78,11.59716849,7.198662092,21.12970884,3.69,35.66345186,177,NA
"181","F1","McPc","CD","Both",10,"female",3.4,9.946423953,6.134805544,14.01441401,4.12,34.17990725,232,NA
"182","F1","McPc","CD","Both",11,"female",3.88,11.50332065,8.665975869,17.06931066,3.8,36.16819478,285,NA
"183","F1","McPc","CD","Both",12,"female",3.48,11.03351333,11.91028834,24.31421422,3.84,28.25942807,242,NA
"184","F1","McPc","CD","Both",13,"female",3.67,8.255811623,8.595120935,13.63885541,3.89,30.15817026,124,NA
"185","F1","McPc","CD","Both",14,"female",3.74,6.217018019,11.10032304,14.59395858,3.41,43.48420182,108,NA
"186","F1","McPc","CD","Both",15,"female",3.6,9.054761905,13.83103563,22.03761949,3.54,37.80900645,282,NA
"187","F1","McPc","CD","Both",16,"female",3.55,8.353864386,11.94384397,17.94555619,3.97,39.16019524,758,NA
"188","F1","McPc","CD","Both",17,"female",3.54,5.466205464,11.19892595,17.52743843,3.88,42.05578124,264,NA
"189","F1","McPc","CD","Both",18,"female",3.67,5.97519068,8.36771658,16.63704983,3.58,17.62343983,186,NA
"190","F1","McPc","CD","Both",19,"female",3.62,8.416833667,12.8544274,21.04388694,3.76,68.59770975,368,NA
"191","F1","McPc","CD","Both",20,"female",3.77,6.218473896,8.721332036,9.111469477,3.75,34.0294645,339,NA
"192","F1","McPc","CD","Both",21,"female",3.81,8.113590264,16.10275392,34.35034112,3.7,34.25357034,230,NA
"193","F1","McPc","CD","Both",22,"female",3.51,5.938123752,9.42758658,10.81917853,3.52,32.68272041,496,NA
"194","F1","McPc","CD","Both",23,"female",3.92,7.178628512,13.00113392,24.72224593,3.9,29.77995711,242,NA
"195","F1","McPc","CD","Both",24,"female",3.36,5.495244003,12.66566511,10.66418168,3.62,36.79941539,207,NA
"196","F1","McPc","CD","Both",25,"female",NA,NA,NA,NA,NA,NA,464,NA
"197","F2","MnPc","NSD","Maternal",1,"male",2.77,13.77214389,20.60559452,44.22131583,2.59,51.83992923,NA,NA
"198","F2","MnPc","NSD","Maternal",2,"male",2.68,12.18934537,15.14993396,33.88825268,2.61,26.6618716,NA,NA
"199","F2","MnPc","NSD","Maternal",3,"male",2.67,11.69316016,24.27559161,16.06194843,2.41,37.43005044,NA,NA
"200","F2","MnPc","NSD","Maternal",4,"male",2.54,12.14139216,32.85231964,22.7800562,2.49,19.27698407,NA,NA
"201","F2","MnPc","NSD","Maternal",5,"male",2.48,12.16584528,16.08973242,27.35665902,2.14,63.86887755,NA,NA
"202","F2","MnPc","NSD","Maternal",6,"male",2.7,10.27400085,38.47308896,14.84393709,2.54,43.43424319,NA,NA
"203","F2","MnPc","NSD","Maternal",7,"male",2.65,13.60751331,19.8710442,30.88473444,2.72,48.6237828,NA,NA
"204","F2","MnPc","NSD","Maternal",8,"male",2.57,7.712753716,20.83684881,22.67089213,2.26,39.76379347,NA,NA
"205","F2","MnPc","NSD","Maternal",9,"male",2.67,13.25906834,22.92948547,16.52267987,2.46,53.88556434,NA,NA
"206","F2","MnPc","NSD","Maternal",10,"male",2.44,6.72335305,9.28719392,17.68328913,2.82,27.33128863,NA,NA
"207","F2","MnPc","NSD","Maternal",11,"male",2.48,9.985254752,9.376807414,23.99171363,2.57,55.87229091,NA,NA
"208","F2","MnPc","NSD","Maternal",12,"male",2.66,11.08477737,18.78163635,17.60760177,2.39,43.18406085,NA,NA
"209","F2","MnPc","NSD","Maternal",13,"male",2.34,8.089974178,10.51062422,22.99056184,2.38,29.42610169,NA,NA
"210","F2","MnPc","NSD","Maternal",14,"male",2.58,12.24009169,17.86888024,35.84600988,2.52,97.5766618,NA,NA
"211","F2","MnPc","NSD","Maternal",15,"male",2.69,9.276944591,13.97848909,18.08008713,2.72,28.46950886,NA,NA
"212","F2","MnPc","NSD","Maternal",16,"male",2.5,7.397942815,14.68571438,25.47916603,2.27,45.96899419,NA,NA
"213","F2","MnPc","NSD","Maternal",17,"male",2.44,17.00805322,12.28878311,28.31644233,2.51,53.4330862,NA,NA
"214","F2","MnPc","NSD","Maternal",18,"male",2.62,9.921619922,17.01258109,34.18663641,2.29,23.09671653,NA,NA
"215","F2","MnPc","NSD","Maternal",19,"male",2.31,11.51175214,11.24881367,15.64842739,2.49,40.74861524,NA,NA
"216","F2","MnPc","NSD","Maternal",20,"male",2.64,8.575087697,13.96741046,33.99376101,2.46,44.42003758,NA,NA
"217","F2","MnPc","NSD","Maternal",21,"male",2.44,7.826024806,15.24027795,31.60986229,2.46,25.44363763,NA,NA
"218","F2","MnPc","NSD","Maternal",22,"male",2.54,8.767137618,14.51198298,37.73127873,2.68,45.36362699,NA,NA
"219","F2","MnPc","NSD","Maternal",23,"male",2.91,8.774824694,14.23019428,19.25566958,2.64,37.78299701,NA,NA
"220","F2","MnPc","NSD","Maternal",24,"male",2.63,9.458772921,12.08997945,18.59868916,2.54,25.395803,NA,NA
"221","F2","McPn","NSD","Paternal",1,"male",2.65,10.08804623,13.01593206,40.36078943,2.39,26.03372416,NA,NA
"222","F2","McPn","NSD","Paternal",2,"male",2.64,11.68536325,18.01745256,38.15496212,2.57,64.64538302,NA,NA
"223","F2","McPn","NSD","Paternal",3,"male",2.42,15.26668347,12.54788606,25.44058906,2.4,53.92105544,NA,NA
"224","F2","McPn","NSD","Paternal",4,"male",2.62,11.71331726,22.77954198,53.73464113,2.58,33.68394543,NA,NA
"225","F2","McPn","NSD","Paternal",5,"male",2.53,12.8874531,18.12093898,35.98812481,2.4,33.64019335,NA,NA
