"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"85","CrossesMnPn",-1.15982034693112,0.523599172821993,-2.21509201529128,0.0279877112327513,"F2","Glucose","male","Both",0.138539170602119," ",0.157430875684226," "
"86","CrossesMnPc",-0.390036907394386,0.523054441657276,-0.745690842732489,0.456810931013975,"F2","Glucose","male","Maternal",0.667921066130077," ",0.763825774088633," "
"87","CrossesMcPn",0.382563588221498,0.523115724874003,0.73131731666763,0.465520743060357,"F2","Glucose","male","Paternal",0.667921066130077," ",0.763825774088633," "
"88","CrossesMnPn",0.233868378380433,0.420792001383219,0.555781425530108,0.578898174525041,"F3","Glucose","male","Both",0.754091043131303," ",0.861170838136425," "
"89","CrossesMnPc",0.603631477389444,0.41938138377088,1.4393377978819,0.151408526079103,"F3","Glucose","male","Maternal",0.428269830909464," ",0.45422557823731," "
"90","CrossesMcPn",-0.00468010384568691,0.420713616631041,-0.0111242034026944,0.991133954155504,"F3","Glucose","male","Paternal",0.997854907033459," ",0.999818594883818," "
"91","CrossesMnPn",0.00333333333333325,0.0416992173578938,0.0799375514586785,0.936373798353889,"F1","Weight","male","Both",0.997854907033459," ",0.999818594883818," "
"92","CrossesMnPc",-0.0491666666666647,0.0416992173578938,-1.17907888401549,0.239889153055896,"F1","Weight","male","Maternal",0.516283177228994," ",0.597466995501775," "
"93","CrossesMcPn",-0.0458333333333335,0.0416992173578938,-1.09914133255686,0.273142494377203,"F1","Weight","male","Paternal",0.536134777790422," ",0.637363022548054," "
"94","CrossesMnPn",0.0408333333333333,0.0474382027135391,0.860768979379552,0.390485532869654,"F2","Weight","male","Both",0.648516023433948," ",0.745066025892164," "
"95","CrossesMnPc",0.0283333333333355,0.047438202713539,0.597268271406266,0.551062559855788,"F2","Weight","male","Maternal",0.747331416790727," ",0.84778855362429," "
"96","CrossesMcPn",-0.0300000000000001,0.047438202713539,-0.632401699136,0.527909478945505,"F2","Weight","male","Paternal",0.74485977188891," ",0.840917754072485," "
"97","CrossesMnPn",0.00333333333333325,0.0416992173578938,0.0799375514586785,0.936373798353889,"F3","Weight","male","Both",0.997854907033459," ",0.999818594883818," "
"98","CrossesMnPc",-0.0491666666666647,0.0416992173578938,-1.17907888401549,0.239889153055896,"F3","Weight","male","Maternal",0.516283177228994," ",0.597466995501775," "
"99","CrossesMcPn",-0.0458333333333335,0.0416992173578938,-1.09914133255686,0.273142494377203,"F3","Weight","male","Paternal",0.536134777790422," ",0.637363022548054," "
"100","Both vs Maternal NSD",15.700574228021,3.80467441099371,4.12665382947193,0.000117638327960523,"F1","TAG","female","NA",0.00127715201396901,"**",0.00201441853879963,"**"
"101","Both vs Paternal NSD",17.0469628306373,3.70871317615585,4.59646298350492,1.51465434822251e-05,"F1","TAG","female","NA",0.000245374004412047,"***",0.000389482546685788,"***"
"102","Maternal vs Paternal NSD",1.34638860261629,3.63055257821537,0.370849498419361,0.92697366966429,"F1","TAG","female","NA",0.999818594883818," ",0.999818594883818," "
"103","Both vs Maternal NSD",6.28965197739837,1.92070223295455,3.27466270902556,0.0029911336240146,"F1","Glycogen","female","NA",0.0269202026161314,"*",0.0283370553854014,"*"
"104","Both vs Paternal NSD",3.94406928626776,1.91528739492396,2.05925716251286,0.0984382730204263,"F1","Glycogen","female","NA",0.362431823393388," ",0.33431866308824," "
"105","Maternal vs Paternal NSD",-2.3455826911306,1.93865166242835,-1.20990414966686,0.447247173161563,"F1","Glycogen","female","NA",0.908407081326839," ",0.763825774088633," "
"106","Both vs Maternal NSD",0.771890420191049,1.54633361456101,0.49917457198276,0.871702332316935,"F1","Trehalose","female","NA",0.999818594883818," ",0.999818594883818," "
"107","Both vs Paternal NSD",0.0279721858660016,1.54197419542752,0.0181405019285982,0.999818594883818,"F1","Trehalose","female","NA",0.999818594883818," ",0.999818594883818," "
"108","Maternal vs Paternal NSD",-0.743918234325047,1.56078447825103,-0.476630979287199,0.882328421267814,"F1","Trehalose","female","NA",0.999818594883818," ",0.999818594883818," "
"109","Both vs Maternal NSD",1.86903961208821,0.598687119544281,3.12189714973476,0.00521825227114525,"F1","Glucose","female","NA",0.0422678433962765,"*",0.0447278766098164,"*"
"110","Both vs Paternal NSD",1.41783172515858,0.596999302594987,2.37493028718067,0.0463153030879619,"F1","Glucose","female","NA",0.220678797066172," ",0.219388277785083," "
"111","Maternal vs Paternal NSD",-0.451207886929632,0.604281996274655,-0.746684312475448,0.735631597108531,"F1","Glucose","female","NA",0.999818594883818," ",0.999818594883818," "
"112","Both vs Maternal NSD",0.679999999999957,36.3482122439788,0.0187079352193615,0.999807062889968,"F1","Fitness","female","NA",0.999818594883818," ",0.999818594883818," "
"113","Both vs Paternal NSD",-15.32,36.3482122439788,-0.421478775824463,0.906737011173257,"F1","Fitness","female","NA",0.999818594883818," ",0.999818594883818," "
"114","Maternal vs Paternal NSD",-15.9999999999999,36.3482122439788,-0.440186711043825,0.898718557291588,"F1","Fitness","female","NA",0.999818594883818," ",0.999818594883818," "
"115","Both vs Maternal NSD",-20.3167147810521,3.61508094693083,-5.61998889632078,4.74561527852302e-08,"F1","TAG","male","NA",1.92197418780182e-06,"***",2.84736916711381e-06,"***"
"116","Both vs Paternal NSD",-40.1734024166979,3.62012413568984,-11.0972444344212,0,"F1","TAG","male","NA",0,"***",0,"***"
